,FAO_Category,Normalized_Category,,
0,Sugar beet,Vegetable,,
1,Tomatoes and products,Vegetable,,
2,Starchy Roots,Vegetable,,
3,Palmkernel Oil,Oil,,
4,Vegetables,Vegetable,,
5,"Meat, Aquatic Mammals",Meat,,
6,Ricebran Oil,Oil,,
7,"Sweeteners, Other",Sweet,,
8,Maize Germ Oil,Oil,,
9,Beer,Alcohol,,
10,Dates,Fruit,,
11,"Fruits, Other",Fruit,,
12,Sweet potatoes,Vegetable,,
13,"Fats, Animals, Raw",Meat,,
14,Sunflowerseed Oil,Oil,,
15,Yams,Plant,,
16,"Pulses, Other and products",Grain,,
17,Aquatic Plants,Plant,,
18,Cephalopods,Other,,
19,Rice (Milled Equivalent),Grain,,
20,Palm Oil,Oil,,
21,Alcoholic Beverages,Alcohol,,
22,Sunflower seed,Other,,
23,Plantains,Fruit,,
24,Honey,Other,,
25,"Offals, Edible",Other,,
26,Tea (including mate),Other,,
27,Maize and products,Grain,,
28,Peas,Vegetable,,
29,"Lemons, Limes and products",Vegetable,,
30,Beans,Vegetable,,
31,Vegetable Oils,Oil,,
32,Milk - Excluding Butter,Dairy,,
33,Mutton & Goat Meat,Meat,,
34,Cloves,Dry_Goods,,
35,Oats,Grain,,
36,Crustaceans,Seafood,,
37,Soyabean Oil,Soy,,
38,"Oilcrops, Other",Oil,,
39,Infant food,Infant,,
40,Onions,Vegetable,,
41,"Oilcrops Oil, Other",Oil,,
42,Bovine Meat,Meat,,
43,Spices,Dry_Goods,,
44,Cassava and products,Other,,
45,"Aquatic Animals, Others",Other,,
46,Sorghum and products,Other,,
47,"Molluscs, Other",Other,,
48,Potatoes and products,Vegetable,,
49,Rape and Mustardseed,Dry_Goods,,
50,"Marine Fish, Other",Seafood,,
51,Coffee and products,Dry_Goods,,
52,Sugar (Raw Equivalent),Sweet,,
53,"Aquatic Products, Other",Seafood,,
54,Nuts and products,Dry_Goods,,
55,Olives (including preserved),Vegetable,,
56,Sugar cane,Sweet,,
57,Palm kernels,Coconut,,
58,Pineapples and products,Fruit,,
59,Pulses,Grain,,
60,Groundnuts (Shelled Eq),Dry_Goods,,
61,Sesame seed,Dry_Goods,,
62,Cream,Dairy,,
63,Pelagic Fish,Seafood,,
64,Eggs,Dairy,,
65,"Spices, Other",Dry_Goods,,
66,Cottonseed Oil,Oil,,
67,Oilcrops,Oil,,
68,Soyabeans,Soy,,
69,"Meat, Other",Meat,,
70,Coconuts - Incl Copra,Coconut,,
71,"Vegetables, Other",Vegetable,,
72,Freshwater Fish,Seafood,,
73,Pepper,Dry_Goods,,
74,"Beverages, Alcoholic",Alcohol,,
75,Pimento,Vegetable,,
76,Cocoa Beans and products,Dry_Goods,,
77,"Fish, Body Oil",Oil,,
78,"Cereals, Other",Dry_Goods,,
79,"Roots, Other",Vegetable,,
80,Stimulants,Other,,
81,Cottonseed,Other,,
82,Wine,Alcohol,,
83,Demersal Fish,Seafood,,
84,Fruits - Excluding Wine,Fruit,,
85,Barley and products,Grain,,
86,Millet and products,Grain,,
87,Offals,Other,,
88,Apples and products,Fruit,,
89,Coconut Oil,Oil,,
90,Grapes and products (excl wine),Fruit,,
91,Olive Oil,Oitl,,
92,Sugar non-centrifugal,Sweet,,
93,Rye and products,Dry_Goods,,
94,Groundnut Oil,Oil,,
95,Sesameseed Oil,Oil,,
96,Meat,Meat,,
97,"Fish, Liver Oil",Oil,,
98,Grapefruit and products,Fruit,,
99,Sugar & Sweeteners,Sweet,,
100,Miscellaneous,Other,,
101,"Fish, Seafood",Seafood,,
102,"Citrus, Other",Other,,
103,Animal fats,Meat,,
104,Poultry Meat,Meat,,
105,"Oranges, Mandarines",Fruit,,
106,Sugar Crops,Sweet,,
107,"Butter, Ghee",Dairy,,
108,Rape and Mustard Oil,Oil,,
109,Pigmeat,Meat,,
110,"Beverages, Fermented",Alcohol,,
111,Cereals - Excluding Beer,Dry_Goods,,
112,Bananas,Fruit,,
113,Wheat and products,Grain,,
114,Treenuts,Dry_Goods,,